a,w,a_change,w_change
19,12,1.4984787340909085,1.7736512240909088
19,13,2.3281536414814816,2.110842513
19,14,2.0434290827272736,2.067066475909091
19,15,1.9766632931250003,2.83969464375
19,16,1.6089392020000006,2.576393549333332
19,17,0.23045437333333338,3.119793011666666
19,18,2.7342937871428576,2.575684705714285
19,19,-0.7527509374999997,1.929983775000001
19,20,-1.7872894199999998,1.8920258740000002
19,21,-0.9965275249999994,3.0539434500000002
19,22,-0.773968506666666,1.6718282199999994
19,23,-0.481062037500001,2.1145502275000005
19,24,-0.009024148750000016,1.8788507924999998
19,25,-0.4339224100000005,2.181791377142857
19,26,-0.16120664285714273,2.3311139357142854
19,27,-0.22997556500000016,2.0611677850000003
20,-26,4.27191028,2.639715329999998
20,-25,4.296112700000002,2.493569019999999
20,-24,2.690631403333333,2.36584703
20,-23,3.4849608400000007,2.6596915766666682
20,-22,3.8060418899999995,2.212058976666667
20,-21,1.6216965699999975,3.436935160000001
20,-20,1.4927894100000003,2.5272172049999995
20,-19,2.2871580699999994,2.932524536
20,-18,1.9728709649999994,2.1445557099999997
20,-17,0.4709778480000004,3.685126423999999
20,-16,-0.014237736666666242,2.393409783333334
20,-15,1.6036199899999986,3.88206471
20,-14,-0.4120200599999997,3.1855700736666663
20,-13,1.6265629499999992,3.804363143
20,-12,-0.37415576666666556,5.510756943
20,-11,4.336967869999999,3.6719685502000003
20,-10,2.2735283099999997,2.2500145590000007
20,-9,0.05944710599999894,4.1240003714
20,-8,-0.011325323333333989,5.176060840999999
20,-7,0.4680148933333328,1.549658860666667
20,-6,2.1551646733333336,4.155124216
20,-5,4.196264474999998,4.7001267935
20,-4,-1.271836997499999,3.783262926
20,-3,1.2234481049999992,4.7636725725
20,-2,0.5849927299999997,2.25928705
20,-1,-1.2315929725000005,4.489319756
20,0,-1.4442231928571434,4.789670553285715
20,1,0.8426136325000009,3.5610055552500004
20,2,-0.3863136311111105,3.6713398369999997
20,3,-0.3764899876923078,3.948040684692307
20,4,-0.09496624454545484,2.9133989774545452
20,5,0.8064934433333336,3.695479215
20,6,0.28098180818181784,3.4976338170000005
20,7,0.6914479056250005,3.721062942125
20,8,1.692985924166667,2.254161313333333
20,9,1.671283445833333,2.5332838128333335
20,10,0.5235034588461539,2.6742045515769233
20,11,0.6085126488888886,1.8052208955555555
20,12,1.1286862013043482,3.0671047226086956
20,13,2.017582996785714,2.3840490932142857
20,14,2.452768274545455,1.9497215527272724
20,15,2.4152817000000004,3.12109356625
20,16,2.7142104400000004,4.68418204
20,17,0.8965610899999994,3.469529889999999
20,18,2.398225570000001,2.908035796666667
20,19,-0.5493281899999971,2.1482498099999994
20,21,-1.480992556666666,1.8350842599999986
20,22,-1.4120800280000005,1.3572283520000006
